foodId,energy,protein
10330001006,570.0093468,22.34778835
10330001004,392.218155,23.91054835
10330001044,177.942025,2.982085
10330001043,183.4179198,2.68529535
10330001042,353.3844393,19.19401802
10330001008,442.304644,21.28404765
10330001009,420.216644,22.46304765
10330001010,383.041394,13.89204765
10330001008,515.490944,21.33144765
10330001009,493.402944,22.51044765
10330001010,456.227694,13.93944765
10330001013,309.702644,25.46404765
10330001014,287.614644,26.64304765
10330001015,250.439394,18.07204765
10330001028,585.4970378,30.20039935
10330001029,563.4090378,31.37939935
10330001030,526.2337878,22.80839935
10330001033,475.6679198,50.08529535
10330001018,558.8771354,32.90550155
10330001019,536.7891354,34.08450155
10330001020,499.6138854,25.51350155
10330001018,541.5459354,32.27514155
10330001019,519.4579354,33.45414155
10330001020,482.2826854,24.88314155
10330001023,375.4235354,35.89114155
10330001024,353.3355354,37.07014155
10330001025,316.1602854,28.49914155
10330002001,414.0607157,19.42000233
10330002002,393.9747835,30.6827085
10330002008,411.9093423,40.79499057
10330002006,425.9175242,37.473775
10330002007,303.0723611,16.49392675
10330002003,212.163345,24.91418
10330002004,172.210075,2.486585
10330002005,231.59454,33.76078
10330002017,519.8647835,49.7227085
10330002015,328.6247835,19.5527085
10330002016,445.9747835,33.8827085
10330002019,592.5,19.266
10330002012,290.72886,16.665578
10330002011,362.68379,20.17768
10330002009,456.08379,22.91768
10330002010,435.52379,21.26968
10330002013,320.1,32.765
10330002014,312.1,30.045
10330005001,418.65196,26.60402
10330005002,416.8290696,26.1508688
10330005003,399.68156,26.81918
10330005004,429.94821,23.27902
10330005005,428.1253196,22.8258688
10330005006,410.97781,23.49418
10330005007,274.785,58.5375
10330005008,308.67375,48.5625
10330005009,291.729375,53.55
10330005010,288.304,4.912
10330005011,246.7174192,4.4360176
10330005012,250.3632,5.34232
10330006001,151.549202,17.69551583
10330006002,132.7067012,14.84235437
10330006003,137.4424212,15.14127437
10330006004,22.790898,0.8387085
10330006005,41.681938,2.1945485
10330006006,48.635968,2.9611215
10330006007,136.089504,17.32080733
10330006008,145.7036985,14.203762
10330006009,158.0911785,8.24579
10330006010,301.62419,11.52235
10330006011,419.27419,14.53235
10330006012,296.13019,20.61035
10330006013,368.66619,18.46635
10330006014,400.59419,35.84735
10330006015,78.35,6.55
10330006016,75.79877,7.401564
10330006017,95.35403,7.892478
10330006018,249.35403,14.892478
10330006019,274.136823,12.958169
10330006020,75,1
10330006021,49,1.787183
10330006022,48,1.792066
10330006023,119.8,5.72
10330006024,47,0.6308
10330006025,51,2.06
10330006026,55,0.8928
10330006027,37,0
10330006028,298,5
10330006029,327.995543,7.385991
10330006030,452,12
10330006031,178.782793,5.065691
10330006032,310,7
10330006033,141.81435,5.441982
10330006034,143.71748,6.138973
10330006035,67.6974,5.604985
10330006036,0,0
10330006037,0,0
10330007001,428.92086,42.1918402
10330007002,342.04336,33.2018402
10330007003,,
10330007004,342.04336,33.2018402
10330007005,319.60886,26.7433402
10330007006,392.30086,37.9243402
10330007007,340.85016,32.1570402
10330007008,,
10330007009,,
10330007010,272.95006,42.7847502
10330007011,205.53746,39.3933502
10330007012,,
10330007013,205.53746,39.3933502
10330007014,158.79006,27.1247502
10330007015,215.87006,34.9547502
10330007016,164.41936,29.1874502
10330007017,,
10330007018,,
10330007019,303.30488,43.6088302
10330007020,235.89228,40.2174302
10330007021,,
10330007022,235.89228,40.2174302
10330007023,189.14488,27.9488302
10330007024,246.22488,35.7788302
10330007025,194.77418,30.0115302
10330007026,,
10330007027,,
10330007028,272.95006,42.7847502
10330007029,205.53746,39.3933502
10330007030,,
10330007031,205.53746,39.3933502
10330007032,158.79006,27.1247502
10330007033,215.87006,34.9547502
10330007034,164.41936,29.1874502
10330007035,,
10330007036,,